Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
ACAC,39.48654208791208,-119.85071637362631,Raley’s,39.483828,-119.852709,Grocery Store
ACAC,39.48654208791208,-119.85071637362631,Starbucks,39.48451701,-119.85300659999999,Coffee Shop
ACAC,39.48654208791208,-119.85071637362631,Anytime Fitness,39.483270000000005,-119.8546,Gym / Fitness Center
ACAC,39.48654208791208,-119.85071637362631,Wells Fargo Bank,39.48369416869854,-119.8552179336548,Bank
ACAC,39.48654208791208,-119.85071637362631,Moxie's Spirits & Dining,39.483610478951995,-119.85247946641458,American Restaurant
ACAC,39.48654208791208,-119.85071637362631,Scolari's Food & Drug Co,39.483085750544035,-119.85377247176949,Grocery Store
ACBD,39.48251750892858,-119.84746921428572,Raley’s,39.483828,-119.852709,Grocery Store
ACBD,39.48251750892858,-119.84746921428572,Dairy Queen,39.4802,-119.843719,Ice Cream Shop
ACBD,39.48251750892858,-119.84746921428572,Moxie's Spirits & Dining,39.483610478951995,-119.85247946641458,American Restaurant
ACDC,39.48426568907565,-119.84260751260504,Dairy Queen,39.4802,-119.843719,Ice Cream Shop
ACED,39.48858782478634,-119.8417266794872,Spectacular City Views,39.49024006367001,-119.84571277410193,Scenic Lookout
ACED,39.48858782478634,-119.8417266794872,Skyline Cafe,39.48781596111103,-119.8367703673158,Italian Restaurant
ACFD,39.49342216666667,-119.84317883333334,Spectacular City Views,39.49024006367001,-119.84571277410193,Scenic Lookout
ACID,39.489740863636364,-119.85114659090908,Starbucks,39.48659487885193,-119.85258240393921,Coffee Shop
ACID,39.489740863636364,-119.85114659090908,AJ Electric LLC,39.48615,-119.85155,Construction & Landscaping
ACID,39.489740863636364,-119.85114659090908,Spectacular City Views,39.49024006367001,-119.84571277410193,Scenic Lookout
ACJC,39.488980210526336,-119.85637154385964,Starbucks,39.48659487885193,-119.85258240393921,Coffee Shop
ACKC,39.48861163380281,-119.86065411267599,Farmers Insurance,39.48592846,-119.8638,Insurance Office
ACLE,39.48876433333332,-119.84786216666664,Starbucks,39.48659487885193,-119.85258240393921,Coffee Shop
ACLE,39.48876433333332,-119.84786216666664,Spectacular City Views,39.49024006367001,-119.84571277410193,Scenic Lookout
ACLE,39.48876433333332,-119.84786216666664,AJ Electric LLC,39.48615,-119.85155,Construction & Landscaping
ACMD,39.49838928571429,-119.85631707142865,Pola Poke,39.50009,-119.857735,Hawaiian Restaurant
ACMD,39.49838928571429,-119.85631707142865,Caughlin Ranch Trail,39.49738042291729,-119.85944803886744,Trail
ACMD,39.49838928571429,-119.85631707142865,Heartrock Care,39.500599,-119.859073,Home Service
ACMD,39.49838928571429,-119.85631707142865,Renovation Medical Spa,39.501619399999996,-119.8591145,Doctor's Office
ACOD,39.50319422807017,-119.83881838596493,Mt Rose Summit,39.505249764409506,-119.8377367731526,Mountain
ACQE,39.499777674698784,-119.84652071084344,Cherry Hill Park,39.5031141882742,-119.84309992017003,Park
ACRE,39.49435655639096,-119.83601257894735,Sierra Shading Solutions Inc,39.49655685294358,-119.8371934890747,Furniture / Home Store
ACSE,39.496162421875006,-119.84032705859377,Sierra Shading Solutions Inc,39.49655685294358,-119.8371934890747,Furniture / Home Store
ACVV,39.489304826086936,-119.84988950000003,Starbucks,39.48659487885193,-119.85258240393921,Coffee Shop
ACVV,39.489304826086936,-119.84988950000003,Spectacular City Views,39.49024006367001,-119.84571277410193,Scenic Lookout
ACVV,39.489304826086936,-119.84988950000003,AJ Electric LLC,39.48615,-119.85155,Construction & Landscaping
ACYY,39.503993,-119.842096,Mt Rose Summit,39.505249764409506,-119.8377367731526,Mountain
ADAA,39.498554801886776,-119.80435145283018,Toscana Spa,39.49779844042337,-119.80224297459364,Spa
ADAA,39.498554801886776,-119.80435145283018,Tuscany Tower,39.4973563300929,-119.80239640674284,Hotel
ADAA,39.498554801886776,-119.80435145283018,Peppermill Resort Spa Casino,39.497480001700296,-119.80168131080885,Hotel
ADAA,39.498554801886776,-119.80435145283018,Peppermill Tower,39.49726150068444,-119.80133558360443,Hotel
ADAA,39.498554801886776,-119.80435145283018,Naan & Kabab,39.49857,-119.79931,Mediterranean Restaurant
ADAA,39.498554801886776,-119.80435145283018,Oceano,39.498670504673846,-119.8007985120546,Seafood Restaurant
ADAA,39.498554801886776,-119.80435145283018,Terrace Lounge,39.49734865761796,-119.80205739314488,Lounge
ADAA,39.498554801886776,-119.80435145283018,Black Bear Diner,39.50226051829675,-119.80182798109912,Diner
ADAA,39.498554801886776,-119.80435145283018,Ruby River Steakhouse,39.498242,-119.799192,Restaurant
ADAA,39.498554801886776,-119.80435145283018,Fireside Lounge,39.498384489554404,-119.80004796500559,Lounge
ADAA,39.498554801886776,-119.80435145283018,clary's,39.49778519427034,-119.79902878655888,Pub
ADAA,39.498554801886776,-119.80435145283018,Biscotti's,39.49729238009965,-119.8020370605822,American Restaurant
ADAA,39.498554801886776,-119.80435145283018,Bimini Steakhouse,39.497466057081105,-119.80205943680187,Steakhouse
ADAA,39.498554801886776,-119.80435145283018,Peppermill Race and Sports Book,39.49732507083512,-119.80080995420064,Sports Bar
ADAA,39.498554801886776,-119.80435145283018,Sports Deli,39.497244226158436,-119.80112105340716,Deli / Bodega
ADAA,39.498554801886776,-119.80435145283018,Island Buffet,39.49802498380103,-119.7999643957838,Buffet
ADAA,39.498554801886776,-119.80435145283018,Cafe Milano,39.49845793653929,-119.79979648133718,Diner
ADAA,39.498554801886776,-119.80435145283018,Chi Restaurant,39.49756087518108,-119.80084467208708,Asian Restaurant
ADAA,39.498554801886776,-119.80435145283018,Regali Bottega,39.49726219429385,-119.80145519273245,Gift Shop
ADAA,39.498554801886776,-119.80435145283018,Gamelab,39.49722536522811,-119.80129061080144,Arcade
ADAA,39.498554801886776,-119.80435145283018,Romanza,39.49815642069868,-119.79999672229336,Italian Restaurant
ADAA,39.498554801886776,-119.80435145283018,Vitamin Connection,39.502648,-119.802787,Health Food Store
ADAA,39.498554801886776,-119.80435145283018,Mirage Salon,39.502648,-119.802787,Cosmetics Shop
ADAQ,39.496357625298316,-119.79652376133673,Naan & Kabab,39.49857,-119.79931,Mediterranean Restaurant
ADAQ,39.496357625298316,-119.79652376133673,Ruby River Steakhouse,39.498242,-119.799192,Restaurant
ADAQ,39.496357625298316,-119.79652376133673,Peppermill Resort Spa Casino,39.497480001700296,-119.80168131080885,Hotel
ADAQ,39.496357625298316,-119.79652376133673,clary's,39.49778519427034,-119.79902878655888,Pub
ADAQ,39.496357625298316,-119.79652376133673,Peppermill Tower,39.49726150068444,-119.80133558360443,Hotel
ADAQ,39.496357625298316,-119.79652376133673,Jimboy's Tacos - Virginia Street - Reno,39.493456,-119.796958,New American Restaurant
ADAQ,39.496357625298316,-119.79652376133673,Chinese Duck House,39.496212596958905,-119.79823200101805,Asian Restaurant
ADAQ,39.496357625298316,-119.79652376133673,Fireside Lounge,39.498384489554404,-119.80004796500559,Lounge
ADAQ,39.496357625298316,-119.79652376133673,Oceano,39.498670504673846,-119.8007985120546,Seafood Restaurant
ADAQ,39.496357625298316,-119.79652376133673,Terrace Lounge,39.49734865761796,-119.80205739314488,Lounge
ADAQ,39.496357625298316,-119.79652376133673,Biscotti's,39.49729238009965,-119.8020370605822,American Restaurant
ADAQ,39.496357625298316,-119.79652376133673,High Sierra Lanes,39.49287191956145,-119.79592363605757,Bowling Alley
ADAQ,39.496357625298316,-119.79652376133673,Island Buffet,39.49802498380103,-119.7999643957838,Buffet
ADAQ,39.496357625298316,-119.79652376133673,Peppermill Race and Sports Book,39.49732507083512,-119.80080995420064,Sports Bar
ADAQ,39.496357625298316,-119.79652376133673,Sports Deli,39.497244226158436,-119.80112105340716,Deli / Bodega
ADAQ,39.496357625298316,-119.79652376133673,U-Haul Neighborhood Dealer,39.492315634006076,-119.79763475068113,Storage Facility
ADAQ,39.496357625298316,-119.79652376133673,7-Eleven,39.4948854781558,-119.798666565712,Convenience Store
ADAQ,39.496357625298316,-119.79652376133673,Bimini Steakhouse,39.497466057081105,-119.80205943680187,Steakhouse
ADAQ,39.496357625298316,-119.79652376133673,Cafe Milano,39.49845793653929,-119.79979648133718,Diner
ADAQ,39.496357625298316,-119.79652376133673,Chi Restaurant,39.49756087518108,-119.80084467208708,Asian Restaurant
ADAQ,39.496357625298316,-119.79652376133673,Carl's The Saloon,39.493161,-119.796862,Gay Bar
ADAQ,39.496357625298316,-119.79652376133673,High Sierra Bowl,39.492633000000005,-119.79614,Bowling Alley
ADAQ,39.496357625298316,-119.79652376133673,Gamelab,39.49722536522811,-119.80129061080144,Arcade
ADAQ,39.496357625298316,-119.79652376133673,Bella Bottega,39.497337,-119.801361,Boutique
ADAQ,39.496357625298316,-119.79652376133673,Regali Bottega,39.49726219429385,-119.80145519273245,Gift Shop
ADAQ,39.496357625298316,-119.79652376133673,Fitness Center,39.497507462280424,-119.80170527925655,Gym / Fitness Center
ADAQ,39.496357625298316,-119.79652376133673,Krem,39.49225,-119.79484,Ice Cream Shop
ADAQ,39.496357625298316,-119.79652376133673,EDGE nightspot,39.497745931308884,-119.80206513581156,Nightclub
ADAS,39.49734747619048,-119.80128514285713,Toscana Spa,39.49779844042337,-119.80224297459364,Spa
ADAS,39.49734747619048,-119.80128514285713,Tuscany Tower,39.4973563300929,-119.80239640674284,Hotel
ADAS,39.49734747619048,-119.80128514285713,Peppermill Resort Spa Casino,39.497480001700296,-119.80168131080885,Hotel
ADAS,39.49734747619048,-119.80128514285713,Naan & Kabab,39.49857,-119.79931,Mediterranean Restaurant
ADAS,39.49734747619048,-119.80128514285713,Peppermill Tower,39.49726150068444,-119.80133558360443,Hotel
ADAS,39.49734747619048,-119.80128514285713,Ruby River Steakhouse,39.498242,-119.799192,Restaurant
ADAS,39.49734747619048,-119.80128514285713,clary's,39.49778519427034,-119.79902878655888,Pub
ADAS,39.49734747619048,-119.80128514285713,Oceano,39.498670504673846,-119.8007985120546,Seafood Restaurant
ADAS,39.49734747619048,-119.80128514285713,Fireside Lounge,39.498384489554404,-119.80004796500559,Lounge
ADAS,39.49734747619048,-119.80128514285713,Terrace Lounge,39.49734865761796,-119.80205739314488,Lounge
ADAS,39.49734747619048,-119.80128514285713,Biscotti's,39.49729238009965,-119.8020370605822,American Restaurant
ADAS,39.49734747619048,-119.80128514285713,Chinese Duck House,39.496212596958905,-119.79823200101805,Asian Restaurant
ADAS,39.49734747619048,-119.80128514285713,Island Buffet,39.49802498380103,-119.7999643957838,Buffet
ADAS,39.49734747619048,-119.80128514285713,Peppermill Race and Sports Book,39.49732507083512,-119.80080995420064,Sports Bar
ADAS,39.49734747619048,-119.80128514285713,Bimini Steakhouse,39.497466057081105,-119.80205943680187,Steakhouse
ADAS,39.49734747619048,-119.80128514285713,Sports Deli,39.497244226158436,-119.80112105340716,Deli / Bodega
ADAS,39.49734747619048,-119.80128514285713,Cafe Milano,39.49845793653929,-119.79979648133718,Diner
ADAS,39.49734747619048,-119.80128514285713,7-Eleven,39.4948854781558,-119.798666565712,Convenience Store
ADAS,39.49734747619048,-119.80128514285713,Chi Restaurant,39.49756087518108,-119.80084467208708,Asian Restaurant
ADAS,39.49734747619048,-119.80128514285713,Romanza,39.49815642069868,-119.79999672229336,Italian Restaurant
ADAS,39.49734747619048,-119.80128514285713,Gamelab,39.49722536522811,-119.80129061080144,Arcade
ADAS,39.49734747619048,-119.80128514285713,Regali Bottega,39.49726219429385,-119.80145519273245,Gift Shop
ADAS,39.49734747619048,-119.80128514285713,European Fitness Center,39.49582453429658,-119.79909977416125,Gym / Fitness Center
ADAS,39.49734747619048,-119.80128514285713,Budget Truck Rental,39.496007,-119.797747,Rental Car Location
ADAS,39.49734747619048,-119.80128514285713,168 Asian Market,39.495292,-119.797631,Market
ADAS,39.49734747619048,-119.80128514285713,Sierra Diving Center,39.500633,-119.798923,Sporting Goods Shop
ADBS,39.4894675,-119.79457816666664,Manhattan Deli,39.48888380487837,-119.79279857758648,Deli / Bodega
ADBS,39.4894675,-119.79457816666664,Bistro Napa In Atlantis,39.48903554148275,-119.79327404121089,American Restaurant
ADBS,39.4894675,-119.79457816666664,Jox Sportsbar,39.49073782300436,-119.79379709346505,Bar
ADBS,39.4894675,-119.79457816666664,Lucky Beaver Bar & Burger,39.490248301721245,-119.79587601653292,Bar
ADBS,39.4894675,-119.79457816666664,Atlantis Steakhouse,39.488975012770574,-119.79446725111073,Steakhouse
ADBS,39.4894675,-119.79457816666664,Toucan Charlie's Buffet & Grille,39.48900181049893,-119.79410127684271,Restaurant
ADBS,39.4894675,-119.79457816666664,Rounds Bakery,39.49176015586952,-119.79259416897106,Bakery
ADBS,39.4894675,-119.79457816666664,Sushi Bar On The Sky Terrace,39.488452975454564,-119.79499319328137,Sushi Restaurant
ADBS,39.4894675,-119.79457816666664,Atlantis Casino Resort & Spa,39.4889071,-119.79368629999999,Casino
ADBS,39.4894675,-119.79457816666664,Outback Steakhouse,39.48988232773607,-119.79732667159702,Steakhouse
ADBS,39.4894675,-119.79457816666664,Popeyes Louisiana Kitchen,39.491489859811296,-119.79528944131985,Fried Chicken Joint
ADBS,39.4894675,-119.79457816666664,Atlantis Sushi,39.48850336724711,-119.79464380195421,Sushi Restaurant
ADBS,39.4894675,-119.79457816666664,Bobo's Mogul Mouse,39.49326917019845,-119.79152452343315,Board Shop
ADBS,39.4894675,-119.79457816666664,Burlington,39.48661864005917,-119.7949679078278,Department Store
ADBS,39.4894675,-119.79457816666664,Reno Town Mall,39.48657855121198,-119.79576820205145,Shopping Mall
ADBS,39.4894675,-119.79457816666664,Jimboy's Tacos - Virginia Street - Reno,39.493456,-119.796958,New American Restaurant
ADBS,39.4894675,-119.79457816666664,Atlantis Race & Sports Book,39.48878525750655,-119.79257976744385,Casino
ADBS,39.4894675,-119.79457816666664,Round Table Pizza,39.486308,-119.795745,Pizza Place
ADBS,39.4894675,-119.79457816666664,Les Schwab Tire Center,39.48559,-119.79383999999999,Automotive Shop
ADBS,39.4894675,-119.79457816666664,Purple Parrot,39.48835186762168,-119.79428749598254,Diner
ADBS,39.4894675,-119.79457816666664,Pirates Pizza,39.48705800000001,-119.797871,Pizza Place
ADBS,39.4894675,-119.79457816666664,Redbox,39.491694,-119.797652,Video Store
ADBS,39.4894675,-119.79457816666664,High Sierra Lanes,39.49287191956145,-119.79592363605757,Bowling Alley
ADBS,39.4894675,-119.79457816666664,U-Haul Neighborhood Dealer,39.492315634006076,-119.79763475068113,Storage Facility
ADBS,39.4894675,-119.79457816666664,Boot Barn,39.491803,-119.789807,Shoe Store
ADBS,39.4894675,-119.79457816666664,Hong Kong Diner,39.4874805140274,-119.79789538615509,Chinese Restaurant
ADBS,39.4894675,-119.79457816666664,Atlantis Fun Center / Arcade,39.48927734352416,-119.79379522538336,Arcade
ADBS,39.4894675,-119.79457816666664,Atlantis Casino & Resort - Oyster Bar,39.48849905440361,-119.79469073076991,Seafood Restaurant
ADBS,39.4894675,-119.79457816666664,Café Alfresco,39.48904199959342,-119.79412236793283,Café
ADBS,39.4894675,-119.79457816666664,Walgreens,39.4916125,-119.797868,Pharmacy
ADBS,39.4894675,-119.79457816666664,Reno Bazaar Deli,39.490639,-119.794142,Deli / Bodega
ADBS,39.4894675,-119.79457816666664,Carl's The Saloon,39.493161,-119.796862,Gay Bar
ADCN,39.49573133333333,-119.78952066666665,Comic Kingdom,39.49332222148953,-119.78999182241566,Hobby Shop
ADCN,39.49573133333333,-119.78952066666665,Kitzmo,39.49235222530653,-119.7894710847347,Sushi Restaurant
ADCN,39.49573133333333,-119.78952066666665,Bobo's Mogul Mouse,39.49326917019845,-119.79152452343315,Board Shop
ADCN,39.49573133333333,-119.78952066666665,Subway,39.49395,-119.788567,Sandwich Place
ADCN,39.49573133333333,-119.78952066666665,Taco Bell,39.49333534614362,-119.78855454699759,Fast Food Restaurant
ADCN,39.49573133333333,-119.78952066666665,Little Philadelphia,39.49813792471397,-119.78932594575872,Sandwich Place
ADCN,39.49573133333333,-119.78952066666665,Pho Kietzke,39.495785737404105,-119.7889333297591,Vietnamese Restaurant
ADCN,39.49573133333333,-119.78952066666665,Antojito's Mexican,39.492191,-119.788055,Mexican Restaurant
ADCN,39.49573133333333,-119.78952066666665,Sportsman's Warehouse,39.4920073695412,-119.78627711534494,Sporting Goods Shop
ADCN,39.49573133333333,-119.78952066666665,Ashley HomeStore,39.49257923655793,-119.78627052181947,Furniture / Home Store
ADCN,39.49573133333333,-119.78952066666665,Boot Barn,39.491803,-119.789807,Shoe Store
ADCN,39.49573133333333,-119.78952066666665,Shell,39.493282,-119.789565,Gas Station
ADCN,39.49573133333333,-119.78952066666665,Pearls of the East,39.495906,-119.788653,Asian Restaurant
ADCN,39.49573133333333,-119.78952066666665,Safelite AutoGlass,39.497144,-119.78978700000002,Auto Garage
ADCN,39.49573133333333,-119.78952066666665,El Tumi,39.493352,-119.790102,Latin American Restaurant
ADCN,39.49573133333333,-119.78952066666665,Shop-N-Go II,39.493557,-119.787701,Convenience Store
